Week,Date,Year,Flights,Actual_Disruption_Rate,Predicted_Disruption_Rate,MAE,AUC,AUC_DEVIATION,CUSUM,CUSUM_ALERT,AUC_MA20,AUC_STD20,UPPER_BAND,LOWER_BAND,BOLLINGER_ALERT,AUC_CHANGE,CHANGE_ALERT,TOTAL_ALERTS,ALERT_TIER
2021-W28,2021-07-12,2021,132361,0.26708773732443847,0.5609099585044769,0.47560778062173703,0.7176940562185551,0.024408666012073366,-4.546120493929323,1,0.681221876461442,0.03553179303389853,0.7522854625292391,0.610158290393645,0,0.009996694903697478,0,1,Yellow
2021-W29,2021-07-19,2021,132769,0.2490340365597391,0.5525977573846286,0.4758797516117256,0.7158375606903176,0.022552170483835843,-4.523568323445487,1,0.6875012131386186,0.029129086934385658,0.7457593870073899,0.6292430392698473,0,0.0018564955282375228,0,1,Yellow
2021-W30,2021-07-26,2021,132687,0.250898731601438,0.5261365787043898,0.46188217088028405,0.7144576376697185,0.02117224746323676,-4.502396075982251,1,0.6899809733132052,0.02921131783833474,0.7484036089898747,0.6315583376365357,0,0.0013799230205990831,0,1,Yellow
2021-W31,2021-08-02,2021,132367,0.2677480036565005,0.5343983068051539,0.4579629686640057,0.7285465703581135,0.03526118015163182,-4.467134895830619,1,0.6943890144862965,0.027958355270881172,0.7503057250280589,0.6384723039445341,0,0.014088932688395062,0,1,Yellow
2021-W32,2021-08-09,2021,132298,0.2958245778469818,0.5531612141228484,0.46889995573819965,0.7045643561812596,0.011278965974777844,-4.455855929855842,1,0.6967276068118398,0.026662190943426027,0.7500519886986918,0.6434032249249877,0,0.023982214176853978,0,1,Yellow
2021-W33,2021-08-16,2021,129754,0.2423663239668912,0.5547722602081527,0.48428717216321154,0.6992199063662223,0.00593451615974061,-4.449921413696101,1,0.6997060479378113,0.023030455745018455,0.7457669594278482,0.6536451364477744,0,0.005344449815037233,0,1,Yellow
2021-W34,2021-08-23,2021,129243,0.18237738214061883,0.473585894212214,0.4554385664402025,0.6619151317677922,-0.03137025843868957,-4.481291672134791,1,0.6993442625844764,0.023585846239045444,0.7465159550625673,0.6521725701063854,0,0.03730477459843018,0,1,Yellow
2021-W35,2021-08-30,2021,126672,0.17006915498294808,0.43303197700509477,0.42840059769046474,0.6741460125358586,-0.019139377670623126,-4.500431049805414,1,0.6999835650847411,0.022657078961884018,0.7452977230085092,0.6546694071609731,0,0.012230880768066443,0,1,Yellow
2021-W36,2021-09-06,2021,124529,0.14692963084903918,0.4035114145703641,0.4047045629233371,0.6851831351715447,-0.008102255034937,-4.508533304840351,1,0.7005930789745267,0.022048565526757727,0.7446902100280421,0.6564959479210113,0,0.011037122635686125,0,1,Yellow
2021-W37,2021-09-13,2021,125766,0.13664265381740692,0.3677643865230412,0.3821734650112708,0.6656418415166139,-0.027643548689867847,-4.536176853530219,1,0.7004072796856643,0.02233937192107825,0.7450860235278208,0.6557285358435078,0,0.019541293654930847,0,1,Yellow
2021-W38,2021-09-20,2021,125821,0.1488702203924623,0.37252945293959044,0.38845875556321585,0.665889372186376,-0.027396018020105717,-4.563572871550325,1,0.6998002825216324,0.023130347988317163,0.7460609784982667,0.6535395865449981,0,0.00024753066976213045,0,1,Yellow
2021-W39,2021-09-27,2021,125496,0.1501004016064257,0.3789742596734562,0.39061209439298245,0.6800588432463197,-0.013226546960162011,-4.576799418510487,1,0.6995446687366528,0.023327927912072978,0.7462005245607988,0.6528888129125068,0,0.014169471059943706,0,1,Yellow
2021-W40,2021-10-04,2021,126674,0.19540710800953628,0.408096013855274,0.40312432074214405,0.7167625018533945,0.023477111646912796,-4.553322306863574,1,0.7013672581415896,0.023169540239121666,0.7477063386198329,0.6550281776633463,0,0.03670365860707481,0,1,Yellow
2021-W41,2021-10-11,2021,128807,0.19253611993137018,0.47018220692660706,0.4401794118247459,0.7040081785748291,0.010722788368347391,-4.542599518495226,1,0.7019831965197284,0.023062216122243236,0.7481076287642149,0.6558587642752419,0,0.012754323278565405,0,1,Yellow
2021-W42,2021-10-18,2021,128615,0.19335225284764607,0.4348475263517114,0.41189154045509174,0.7292857569449531,0.0360003667384714,-4.506599151756755,1,0.7036561675669366,0.023794068996439814,0.7512443055598163,0.656068029574057,0,0.02527757837012401,0,1,Yellow
2021-W43,2021-10-25,2021,126609,0.2269506907091913,0.4777293393019565,0.4417934594380928,0.7015987748993031,0.00831338469282139,-4.498285767063933,1,0.7034111257091821,0.02378847957192503,0.7509880848530321,0.655834166565332,0,0.02768698204565001,0,1,Yellow
