OP_UNIQUE_CARRIER,ORIGIN_AIRPORT,DEST_AIRPORT,CARRIER_TYPE,ROUTE_TYPE,ORIGIN_TIER,CATE_T1,DOWNSTREAM_SPILLOVER,RECOVERY_WINDOW,ROUTE_30DAY_DISR_RATE,TOPSIS_SCORE,TOPSIS_RANK,NEXT_DISRUPTED,RANK_LONGEST_DELAY,RANK_EARLIEST_DEP,RANK_SPILLOVER,RANK_CATE_ONLY,RANK_RANDOM
AA,TUS,DFW,Mainline,Hub-to-Hub,Medium,0.46245813,4,750,0.24,1.0,1,0.0,3,1,1,1,1
HA,ITO,HNL,Mainline,Hub-to-Spoke,Small,0.4539555,4,205,0.1988060224089635,1.0,1,0.0,2,1,1,1,2
YX,MVY,LGA,Regional,Hub-to-Spoke,NonHub,0.65215516,0,160,0.3,1.0,1,0.0,2,1,3,1,2
MQ,XNA,DFW,Regional,Hub-to-Spoke,Small,0.4615151,1,266,0.3404761904761904,1.0,1,0.0,1,1,1,1,3
B6,STT,SJU,LCC,Hub-to-Spoke,Small,0.7027513,1,370,0.2749999999999999,1.0,1,1.0,2,1,1,1,3
OO,MRY,PHX,Regional,Hub-to-Spoke,Small,0.5955698,0,404,0.2444444444444444,1.0,1,1.0,1,1,1,1,1
OO,GRB,ORD,Regional,Hub-to-Spoke,Small,0.6675896,0,449,0.1783333333333333,1.0,1,1.0,1,1,2,1,2
OO,DEC,ORD,Regional,Hub-to-Spoke,NonHub,0.5736976,1,536,0.2,1.0,1,1.0,4,1,1,1,3
OH,CRW,CLT,Regional,Hub-to-Spoke,Small,0.6122166,1,472,0.3,1.0,1,0.0,3,1,1,1,1
HA,KOA,HNL,Mainline,Hub-to-Hub,Medium,0.5211331,13,765,0.1900542418849054,1.0,1,0.0,1,1,1,1,3
OO,LIT,DFW,Regional,Hub-to-Hub,Medium,0.6486866,1,271,0.2603174603174603,1.0,1,1.0,3,1,1,1,2
OO,GRK,DFW,Regional,Hub-to-Spoke,Small,0.72278845,2,255,0.2611111111111111,1.0,1,0.0,3,1,1,1,2
9E,AGS,ATL,Regional,Hub-to-Spoke,Small,0.54177654,4,810,0.0655555555555555,1.0,1,0.0,1,1,1,1,2
MQ,SGF,DFW,Regional,Hub-to-Spoke,Small,0.6797026,3,365,0.2106746031746031,1.0,1,0.0,2,1,1,1,2
AS,PAE,LAS,Mainline,Hub-to-Spoke,NonHub,0.607011,0,110,0.1166666666666666,1.0,1,1.0,3,1,1,1,2
MQ,BRO,DFW,Regional,Hub-to-Spoke,Small,0.65365344,2,479,0.1416666666666666,1.0,1,1.0,1,1,1,1,1
MQ,TYR,DFW,Regional,Hub-to-Spoke,Small,0.6272954,2,517,0.2249999999999999,1.0,1,1.0,1,1,1,1,1
MQ,FSM,DFW,Regional,Hub-to-Spoke,Small,0.64050686,1,518,0.2277777777777777,1.0,1,1.0,2,1,1,1,2
B6,STT,SJU,LCC,Hub-to-Spoke,Small,0.4319482,1,335,0.2805555555555555,1.0,1,1.0,3,1,1,1,2
OO,GRK,DFW,Regional,Hub-to-Spoke,Small,0.6576034,1,255,0.3138888888888889,1.0,1,1.0,2,1,1,1,1
B6,PBI,BOS,LCC,Hub-to-Hub,Medium,0.593119,1,358,0.3888888888888889,1.0,1,1.0,3,1,1,1,3
WN,LBB,DAL,LCC,Hub-to-Spoke,Small,0.6079672,1,180,0.2066666666666666,1.0,1,1.0,1,1,1,1,1
YV,GJT,PHX,Regional,Hub-to-Spoke,Small,0.63943917,1,421,0.1666666666666666,1.0,1,0.0,1,1,1,1,2
DL,FAI,SEA,Mainline,Hub-to-Spoke,Small,0.49643907,0,215,0.0955555555555555,1.0,1,0.0,1,1,2,1,1
